minecraft:quartz_slab -> minecraft:quartz_slab {"type":"top","waterlogged":"false"}
minecraft:sticky_piston_arm_collision -> minecraft:piston_head {"facing":"north","type":"sticky","short":"false"}
minecraft:observer -> minecraft:observer {"facing":"up","powered":"false"}
minecraft:wooden_button -> minecraft:oak_button {"facing":"south","powered":"false","face":"wall"}
minecraft:piston_arm_collision -> minecraft:piston_head {"facing":"south","type":"normal","short":"false"}
minecraft:unlit_redstone_torch -> minecraft:redstone_wall_torch {"facing":"north","lit":"false"}
minecraft:powered_repeater -> minecraft:repeater {"facing":"north","powered":"true","delay":"4","locked":"false"}
minecraft:observer -> minecraft:observer {"facing":"north","powered":"false"}
minecraft:redstone_torch -> minecraft:redstone_wall_torch {"facing":"east","lit":"true"}
minecraft:unpowered_repeater -> minecraft:repeater {"facing":"north","powered":"true","delay":"1","locked":"false"}
minecraft:redstone_torch -> minecraft:redstone_wall_torch {"facing":"north","lit":"true"}
minecraft:sticky_piston_arm_collision -> minecraft:piston_head {"facing":"west","type":"sticky","short":"false"}
minecraft:unlit_redstone_torch -> minecraft:redstone_wall_torch {"facing":"east","lit":"false"}
minecraft:observer -> minecraft:observer {"facing":"down","powered":"false"}
minecraft:observer -> minecraft:observer {"facing":"west","powered":"false"}
minecraft:unpowered_repeater -> minecraft:repeater {"facing":"west","powered":"true","delay":"1","locked":"false"}
minecraft:unpowered_comparator -> minecraft:comparator {"facing":"west","mode":"compare","powered":"false"}
minecraft:unpowered_repeater -> minecraft:repeater {"facing":"east","powered":"true","delay":"1","locked":"false"}
minecraft:redstone_torch -> minecraft:redstone_torch {"lit":"true"}
minecraft:sticky_piston_arm_collision -> minecraft:piston_head {"facing":"down","type":"sticky","short":"false"}
minecraft:powered_comparator -> minecraft:comparator {"facing":"west","mode":"compare","powered":"true"}
minecraft:unlit_redstone_torch -> minecraft:redstone_torch {"lit":"false"}
minecraft:unpowered_comparator -> minecraft:comparator {"facing":"west","mode":"subtract","powered":"false"}
minecraft:observer -> minecraft:observer {"facing":"east","powered":"false"}
minecraft:unpowered_comparator -> minecraft:comparator {"facing":"north","mode":"subtract","powered":"false"}
minecraft:redstone_torch -> minecraft:redstone_wall_torch {"facing":"south","lit":"true"}
minecraft:unpowered_comparator -> minecraft:comparator {"facing":"north","mode":"compare","powered":"false"}
minecraft:powered_comparator -> minecraft:comparator {"facing":"north","mode":"compare","powered":"true"}
minecraft:powered_comparator -> minecraft:comparator {"facing":"north","mode":"subtract","powered":"true"}
minecraft:unpowered_comparator -> minecraft:comparator {"facing":"east","mode":"compare","powered":"false"}
minecraft:unlit_redstone_torch -> minecraft:redstone_wall_torch {"facing":"west","lit":"false"}
minecraft:unlit_redstone_torch -> minecraft:redstone_wall_torch {"facing":"south","lit":"false"}
minecraft:powered_repeater -> minecraft:repeater {"facing":"west","powered":"true","delay":"1","locked":"false"}
minecraft:unpowered_comparator -> minecraft:comparator {"facing":"south","mode":"subtract","powered":"false"}
minecraft:powered_repeater -> minecraft:repeater {"facing":"west","powered":"true","delay":"2","locked":"false"}
minecraft:unpowered_comparator -> minecraft:comparator {"facing":"east","mode":"subtract","powered":"false"}
minecraft:unpowered_repeater -> minecraft:repeater {"facing":"west","powered":"true","delay":"2","locked":"false"}
minecraft:powered_comparator -> minecraft:comparator {"facing":"east","mode":"subtract","powered":"true"}
minecraft:observer -> minecraft:observer {"facing":"south","powered":"false"}
minecraft:unpowered_comparator -> minecraft:comparator {"facing":"south","mode":"compare","powered":"false"}
minecraft:powered_repeater -> minecraft:repeater {"facing":"east","powered":"true","delay":"1","locked":"false"}
minecraft:wooden_button -> minecraft:oak_button {"facing":"north","powered":"false","face":"floor"}
minecraft:powered_comparator -> minecraft:comparator {"facing":"east","mode":"compare","powered":"true"}
minecraft:wooden_button -> minecraft:oak_button {"facing":"east","powered":"false","face":"wall"}
